,album,album,album,album,album,album,album,album,album,album,album,album,album,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,set,set,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track
43696,0,2011-02-17 16:35:48,2011-02-01 00:00:00,,3,8574,"<p>MWE put a modern and eclectic twist on Turkish and Balkan folk music. As a six member acoustic wind ensemble, MWE plays traditional songs with the rarely paired clarinet and the double-reeded zurna.  Add three clarinets, some dumbek, some riqq, and a Davul, a shoulder slung marching drum, and you’re about the closest to heavy metal you can get without amplification.  Their shows are loud, wild and raucous affairs known for drawing entire audiences on their feet in one song or less.  Often found playing hit-and-run gigs in San Francisco’s Mission District, they’ve also played at established world music venues including Ashkenaz and Yoshi’s Lounge.</p>
<p> Sirtos (from Yiannitsa): The name speaks for itself but it should be noted that Yiannitsa is in northern Greece and this tune is in 7/8.</p>

<p> Suleyman Aga: This song is a Turkish Roman traditional. This 9/8 karsilama rhythm is probably the most popular rhythm among Turkish Roma.</p>
<p> Halay: Halay is actually the name of a line dance from Turkey. It is driven by a relentless 2/4 beat, and usually features zurna and davul.</p>
<p> Varshaver: Varshaver is fully named ""Varshaver Freilakhs,"" which is Yiddish for ""happy dance from Warsaw."" It's a klezmer piece. We learned it from an early 20th century recording of violinist Abe Schwartz.</p>
<p>Los Bilbilicos: This is a traditional sephardic tune that has spread in popularity all over the Mediterranean and Middle East.</p>
<p><br /></p>
<p>MWE<br />Peter Jaques: Clarinet<br />Greg Jenkins: Clarinet<br />Samual Atchley: Clarinet<br />Calvin Lai: Zurna<br />Sean Tergis: Davul<br />Faisal Zedan: Dumbek, Riqq</p>
<p>You can contact us at mweband@gmail.com or check us out on</p>
<p><a title=""myspace.com/mwesf"" href=""http://myspace.com/mwesf"" target=""_blank"">myspace.com/mwesf</a></p>

<p><a title=""http://www.facebook.com/mweSF"" href=""http://www.facebook.com/mweSF"" target=""_blank"">http://www.facebook.com/mweSF</a></p>",30808,,[],MWE Demo,5,Album,,,,"<p>MWE put a modern and eclectic twist on Turkish and Balkan folk music. As a six member acoustic wind ensemble, MWE plays traditional songs with the rarely paired clarinet and the double-reeded zurna.  Add three clarinets, some dumbek, some riqq, and a Davul, a shoulder slung marching drum, and you’re about the closest to heavy metal you can get without amplification.</p>
<p> Their shows are loud, wild and raucous affairs known for drawing entire audiences on their feet in one song or less.</p>
<p> Often found playing hit-and-run gigs in San Francisco’s Mission District, they’ve also played at established world music venues including Ashkenaz and Yoshi’s Lounge.</p>",0,2011-02-14 18:51:11,15,10183,37.805065,"Oakland, CA",-122.273024,"Peter Jaques: Clarinet
Greg Jenkins: Clarinet
Samual Atchley: Clarinet
Calvin Lai: Zurna
Sean Tergis: Davul
Faisal Zedan: Dumbek, Riqq
",MWE,,[],http://www.facebook.com/mweSF,,training,small,320000,0,,2011-02-17 16:37:08,,281,3,International,"[102, 118, 130]","[2, 118, 102, 130]",,5234,,Attribution-Noncommercial-No Derivative Works 3.0 United States,4401,,6,,[],Los Bilbilicos
43518,0,2011-02-14 14:00:10,2011-01-15 00:00:00,,2,8534,"<p> </p>
<p>Live from the 2011 <a title=""http://www.goldenfest.org/"" href=""http://www.goldenfest.org/"" target=""_blank"">Golden Festival</a>, from the Grand View room (4th floor) presenting Sounds of the Middle East and Much More...</p>
<p>Eastern Watershed Klezmer Quartet members are Janice Coppola, clarinet and bass clarinet; Lynette Garlan, accordion; Phil Van Ouse, Helicon and trombone; RJ Heid on percussion.</p>
<p>We are currently promoting our second CD, <em>The Klez Dispensers.</em>  Information is available on our <a title=""http://easternwatershed.org"" href=""http://easternwatershed.org"" target=""_blank"">website</a>.</p>
<p>The group has been playing minor mode therapy music for 10 years together.  We have played at festivals and concerts in our tri-state area (we are located in Pittsburgh, PA), New York and New Jersey, and will play for parades, birthdays, weddings, anniversaries and other such events.</p>
<p> </p>
<p>Our website is <a href=""http://easternwatershed.org"" target=""_blank"">http://easternwatershed.org</a></p>
<p>Our MySpace page is <a title=""http://www.myspace.com/easternwatershed"" href=""http://www.myspace.com/easternwatershed"" target=""_blank"">myspace.com/easternwatershed</a></p>",10985,,[],Live at the 2011 Golden Festival -- EWKQ,6,Album,,,,"<p>Eastern Watershed Klezmer Quartet members are Janice Coppola, clarinet and bass clarinet; Lynette Garlan, accordion; Phil Van Ouse, Helicon and trombone; RJ Heid on percussion.</p>
<p>We are currently promoting our second CD, <em><a title=""http://easternwatershed.org"" href=""http://easternwatershed.org"" target=""_blank"">The Klez Dispensers</a>.</em> Information is available on our <a title=""http://easternwatershed.org"" href=""http://easternwatershed.org"" target=""_blank"">website</a>.</p>
<p>The group has been playing minor mode therapy music for 10 years together.  We have played at festivals and concerts in our tri-state area (we are located in Pittsburgh, PA), New York and New Jersey, and will play for parades, birthdays, weddings, anniversaries and other such events.</p>",0,2011-02-14 12:57:40,1,10174,40.438335,"Pittsburgh, PA",-79.997459,"Janice Coppola, clarinet and bass clarinet

Lynette Garlan, accordion

Phil Van Ouse, Helicon and trombone

RJ Heid on percussion",Eastern Watershed Klezmer Quartet,,[],http://easternwatershed.org,,test,small,256000,0,,2011-02-14 15:32:36,,294,4,International,[741],"[130, 2, 741]",,2696,,Attribution-Noncommercial-No Derivative Works 3.0 United States,1939,,3,,[],Dance Medley
43766,0,2011-02-18 13:37:19,,,0,8584,"<p><a title=""http://ansamblmastika.com/"" href=""http://ansamblmastika.com/"" target=""_blank"">Ansambl Mastika</a> bring the ""New Balkan Uproar / Original Eastern European Music"" to the <a title=""www.goldenfest.org"" href=""http://www.goldenfest.org"" target=""_blank"">Golden Festiva</a>l's Grand Ballroom Stage at Grand Prospect Hall, January 15th 2011!</p>
<p><strong>Nova Zemja<br /></strong>The title means New Land in Macedonian. I began writing the song when I was on tour in Germany with the Hungry March Band. I was killing time during a sound check at a club in Munich called Neuland. This is what eventually came of that. It's a Bulgarian dance called a rutchenitsa. Bulgarian playing is a very virtuosic and very flashy, not at all typical of my playing style, so as I was writing this I felt like I was exploring an entirely new realm of playing, musically a New Land.</p>
<p><strong>Memede Zlatna Ptica<br /></strong>Memede is a kind of Macedonian dance. Zlatna ptica means golden bird in Macedonian. This tune is named for the golden bird that used to fly out of my saxophone on the band's old website. It was beautiful website, and totally impractical for me to use, especially since the designer/webmaster lives in Skopje, Macedonia.</p>
<p><strong>Pesna bez Zborovi/More Tri Godini<br /></strong>This is a medley of an original tune called Pesna bez Zborovi (Song without Words in Macedonian) and a traditional Macedonian tune called More Tri Godini (My Dear, Three Years). The words of the traditional song say:</p>
<p>My dear, three years ago<br />I strolled to Istanbul<br />my fragrant lamb, my dark bird<br />And I earned myself<br />three thousand (dollars, grosche, denars?)<br />With the first thousand<br />I bought myself a horse<br />With the second thousand<br />I bought myself a house<br />With the third thousand<br />I will come for you</p>
<p><strong>Franklin'in Karsilamasi<br /></strong>This is a Turkish/Romany dance called a karsilama. This one is named for Franklin Ave, the street in Brooklyn where I recently put down roots with my girlfriend.</p>
<p><span style=""text-decoration: underline;"">Performers</span>:<br />Greg Squared - sax and vocals<br />Ben Syversen - trumpet<br />Matthew Fass - accordion<br />Joey Weisenberg - guitar<br />Reuben Radding - bass<br />Matt Moran - percussion<br />Rima Fand - vocals on More Tri Godini</p>
<p> </p>",8176,,[],Live at the 2011 Golden Festival: Ansambl Mastika,4,Live Performance,,,,"<p><strong>""New Balkan Uproar - Original Eastern European Music""</strong></p><p></p><p>With song styles ranging from the heart-wrenching clarinet ‘miroloi’ of northern Greece to the funkier chocheci of the Serbian and Macedonian Roma (gypsies); from the oriental mystery of Turkish chalgi ensembles and Middle Eastern orchestras to the driving power of Bulgarian wedding bands and Klezmer kapelye, Ansambl Mastika’s music is rooted in the myriad styles of Eastern Europe, the Mediterranean basin and the Middle East. The ‘New Balkan Uproar’ of Ansambl Mastika is a joyful synthesis of these tumultuous sounds and irresistible grooves with jazz, funk, rock and other Western styles that captivates audiences on the dance floor, in the concert hall, and at the festival stage, leaving them breathless and clamoring for more. (via <a href=""http://ansamblmastika.com/"" title=""http://ansamblmastika.com/"" target=""_blank"">http://ansamblmastika.com/</a>)</p>",0,2008-12-04 09:23:30,3,411,,,,"Greg Squared - sax and vocals
Ben Syversen - trumpet
Matthew Fass - accordion
Joey Weisenberg - guitar
Reuben Radding - bass
Matt Moran - percussion
Rima Fand - vocals on More Tri Godini",Ansambl Mastika,"Astoriani, hungry march band, jeni jol, veveritse, zagnut orkestar",[],http://www.ansamblmastika.com,,test,small,256000,0,,2011-02-18 13:42:10,,242,4,International,[118],"[2, 118]",,3366,,Attribution-Noncommercial-No Derivative Works 3.0 United States,2843,,2,,[],Memede Zlatna Ptica
43856,0,2011-02-19 10:25:56,,,0,8608,,34912,,[],Sour Soul 12,15,Album,,,,,1,2011-02-19 10:30:37,1,10229,,,,,Chicken Jones,,['chicken jones'],,,training,small,256000,0,,2011-02-19 10:28:07,,121,5,Hip-Hop,"[21, 811]","[811, 21]",,4869,,Attribution-Noncommercial-No Derivative Works 3.0 United States,3585,,2,,[],raiz latina
43026,0,2011-01-28 20:27:13,,,4,8426,"<p><span style=""font-size: xx-small;""> Huun Huur Tu is </span><span style=""font-size: xx-small;"">the first and still  greatest traditional band from Tuva in southern Siberia. The tireless overtone-singing spike-fiddle-wielding marvels serenade us in-studio midway through a <a href=""http://www.eyefortalent.com/index.cfm/fuseaction/artist.performance_schedule/artist_id/33"">winter North American tour</a> that includes a gig at <a href=""http://www.joespub.com/"">Joe's Pub</a> in NY on Saturday January 29. (Also check out their new cd, <a href=""http://www.worldvillagemusic.com/#/albums?id=1538"">Ancestors Call</a> on World Village Records.) Special thanks to our illustrious engineer Jason Sigal and to Bruce Sherman from <a href=""http://www.hrpac.org/index.htm"">Hudson River Performing Arts Center</a>, who presented Huun Huur Tu's recent free concert at the UBS Atrium, Lincoln Harbor (and also present free concerts on the waterfront at Lincoln Harbor during the summer). </span></p>
<p><span style=""font-size: xx-small;"">-<a title=""http://wfmu.org/playlists/shows/38941"" href=""http://wfmu.org/playlists/shows/38941"" target=""_blank"">Rob Weisberg, WFMU's Transpacific Sound Paradise Jan 22 2011</a><br /></span></p>",44455,,"['khoomei', 'tuva', 'huun huur tu', 'overtone singing']","Live on WFMU's Transpacific Sound Paradise, Jan 22, 2011",15,Radio Program,,,,"<p>Huun-Huur-Tu (Tuvan: Хүн Хүртү <em>Khün Khürtü</em>) is a music group from Tuva, a Russian republic situated on the Mongolian border.</p>
<p>The most distinctive characteristic of Huun Huur Tu's music is throat singing, in which the singers sing both the note (drone) and the drone's overtone(s), thus producing two or three notes simultaneously. The overtone may sound like a flute, whistle or bird, but is actually solely a product of the human voice.</p>
<p>The group primarily uses native Tuvan instruments such as the igil, khomus (Tuvan Jew's Harp), doshpuluur, and tungur (shaman drum). However, in recent years, the group has begun to selectively incorporate western instruments, such as the guitar. While the thrust of Huun Huur Tu's music is fundamentally indigenous Tuvan folk music, they also experiment with incorporating not only Western instruments, but electronic music as well.</p>
<p>>> <a title=""http://en.wikipedia.org/wiki/Huun-Huur-Tu"" href=""http://en.wikipedia.org/wiki/Huun-Huur-Tu"" target=""_blank"">read more at wikipedia</a></p>",0,2011-01-28 19:05:00,28,10060,22.586639,Tuva Republic,71.614639,"Kaigal-ool Khovalyg
Sayan Bapa
Radik Tülüsh
Alexei Saryglar

Past members:
Albert Kuvezin
Alexander Bapa
Andrey Mongush
Anatoli Kuular",Huun Huur Tu,,"['huun huur tu', 'khoomei', 'throat-singing', 'overtone singing', 'tuva']",http://www.huunhuurtu.ru/,,training,small,256000,1,,2011-01-28 20:24:24,,350,12,International,[172],"[2, 172]",,6473,,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,5004,,10,,"['khoomei', 'tuva', 'huun huur tu', 'overtone singing']",Chyraa Khoor
43022,0,2011-01-28 20:27:13,,,4,8426,"<p><span style=""font-size: xx-small;""> Huun Huur Tu is </span><span style=""font-size: xx-small;"">the first and still  greatest traditional band from Tuva in southern Siberia. The tireless overtone-singing spike-fiddle-wielding marvels serenade us in-studio midway through a <a href=""http://www.eyefortalent.com/index.cfm/fuseaction/artist.performance_schedule/artist_id/33"">winter North American tour</a> that includes a gig at <a href=""http://www.joespub.com/"">Joe's Pub</a> in NY on Saturday January 29. (Also check out their new cd, <a href=""http://www.worldvillagemusic.com/#/albums?id=1538"">Ancestors Call</a> on World Village Records.) Special thanks to our illustrious engineer Jason Sigal and to Bruce Sherman from <a href=""http://www.hrpac.org/index.htm"">Hudson River Performing Arts Center</a>, who presented Huun Huur Tu's recent free concert at the UBS Atrium, Lincoln Harbor (and also present free concerts on the waterfront at Lincoln Harbor during the summer). </span></p>
<p><span style=""font-size: xx-small;"">-<a title=""http://wfmu.org/playlists/shows/38941"" href=""http://wfmu.org/playlists/shows/38941"" target=""_blank"">Rob Weisberg, WFMU's Transpacific Sound Paradise Jan 22 2011</a><br /></span></p>",44455,,"['khoomei', 'tuva', 'huun huur tu', 'overtone singing']","Live on WFMU's Transpacific Sound Paradise, Jan 22, 2011",15,Radio Program,,,,"<p>Huun-Huur-Tu (Tuvan: Хүн Хүртү <em>Khün Khürtü</em>) is a music group from Tuva, a Russian republic situated on the Mongolian border.</p>
<p>The most distinctive characteristic of Huun Huur Tu's music is throat singing, in which the singers sing both the note (drone) and the drone's overtone(s), thus producing two or three notes simultaneously. The overtone may sound like a flute, whistle or bird, but is actually solely a product of the human voice.</p>
<p>The group primarily uses native Tuvan instruments such as the igil, khomus (Tuvan Jew's Harp), doshpuluur, and tungur (shaman drum). However, in recent years, the group has begun to selectively incorporate western instruments, such as the guitar. While the thrust of Huun Huur Tu's music is fundamentally indigenous Tuvan folk music, they also experiment with incorporating not only Western instruments, but electronic music as well.</p>
<p>>> <a title=""http://en.wikipedia.org/wiki/Huun-Huur-Tu"" href=""http://en.wikipedia.org/wiki/Huun-Huur-Tu"" target=""_blank"">read more at wikipedia</a></p>",0,2011-01-28 19:05:00,28,10060,22.586639,Tuva Republic,71.614639,"Kaigal-ool Khovalyg
Sayan Bapa
Radik Tülüsh
Alexei Saryglar

Past members:
Albert Kuvezin
Alexander Bapa
Andrey Mongush
Anatoli Kuular",Huun Huur Tu,,"['huun huur tu', 'khoomei', 'throat-singing', 'overtone singing', 'tuva']",http://www.huunhuurtu.ru/,,training,small,256000,0,,2011-01-28 20:24:22,,302,7,International,[172],"[2, 172]",,4262,,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,3059,,6,,"['khoomei', 'tuva', 'huun huur tu', 'overtone singing']",Kongurri
43621,0,2011-02-15 12:48:04,,,0,8549,"<p>Comprised of  Alt trax, Practice jams 7' B sides and various unreleased experiments of an undetermined awkward nature and extremity- </p>",19645,,[],"Unreleased, Unwashed, Rare and Forgotten Inconsistencies",13,Album,1993-01-01 00:00:00,,"Starcleaners
Starcrunch
Freedom From
Tibetan Beefgarden
No Basement is deep enough","<p>Since 1993 Kreamy 'Lectric Santa has been committed to their own grandious outstandingly obtrusive vision which has amounted to relative obscurity, depression, anxiety and insurmountable empowering desperation . Initially hailing from Miami  then Atl,Pa, Oakland Ca and con-currently Asheville NC. Main members Robert Price and Priya Ray have continued fostering this seemingly never ending institution which thru the years has had 55 or more members and no pre-set style,sound or Genre-often combined  forms of varied and improbable styling  from Psychedelia, Post punk, folk, free noise, country, Musique Concrete and electronics.</p>
<p>-The bands high point being a post by a ween fan on a Ween forum for the worst album ever  claiming their 1st 95 CD release was like 'farted blood ' -granted grammatically flawed comment but...</p>
<p> http://weendotnetforum16662.yuku.com/reply/1708183/Re-worst-cd-tape-you-ever-owned-</p>
<p> No great expectations as they plow forth Dedicated to musical indiscretion and excess. </p>
<p>getting progressively older and progressively bitter unlike other musicians of similar ilk who feel the same abject disillusion and regret. KLS are Smiling idiotically and bitching about those darn kids the whole dam time</p>",0,2011-02-14 17:11:52,6,10180,35.59846,"Asheville, NC",-82.553144,"Currently
Robert Price
Priya Ray
Morgan Stickrod
Andy Loebs",Kreamy 'Lectric Santa,,[],www.kreamy.org,,training,small,192000,0,"Robert Price, Priya Ray",2011-02-16 12:43:23,,115,6,Folk,[94],"[17, 94]",<p>Collaborative  Instrumental Ez listening project. If interested in taking part contact us-Thi is the marginalized alt mix-Fully blown on Operation Spaqcetime Cynderblock LP/CD</p>,3872,,Attribution-NonCommercial 2.5,2539,,4,,[],Sickly Sweet 1 (unfettered)
43843,0,2011-02-15 12:48:04,,,0,8549,"<p>Comprised of  Alt trax, Practice jams 7' B sides and various unreleased experiments of an undetermined awkward nature and extremity- </p>",19645,,[],"Unreleased, Unwashed, Rare and Forgotten Inconsistencies",13,Album,1993-01-01 00:00:00,,"Starcleaners
Starcrunch
Freedom From
Tibetan Beefgarden
No Basement is deep enough","<p>Since 1993 Kreamy 'Lectric Santa has been committed to their own grandious outstandingly obtrusive vision which has amounted to relative obscurity, depression, anxiety and insurmountable empowering desperation . Initially hailing from Miami  then Atl,Pa, Oakland Ca and con-currently Asheville NC. Main members Robert Price and Priya Ray have continued fostering this seemingly never ending institution which thru the years has had 55 or more members and no pre-set style,sound or Genre-often combined  forms of varied and improbable styling  from Psychedelia, Post punk, folk, free noise, country, Musique Concrete and electronics.</p>
<p>-The bands high point being a post by a ween fan on a Ween forum for the worst album ever  claiming their 1st 95 CD release was like 'farted blood ' -granted grammatically flawed comment but...</p>
<p> http://weendotnetforum16662.yuku.com/reply/1708183/Re-worst-cd-tape-you-ever-owned-</p>
<p> No great expectations as they plow forth Dedicated to musical indiscretion and excess. </p>
<p>getting progressively older and progressively bitter unlike other musicians of similar ilk who feel the same abject disillusion and regret. KLS are Smiling idiotically and bitching about those darn kids the whole dam time</p>",0,2011-02-14 17:11:52,6,10180,35.59846,"Asheville, NC",-82.553144,"Currently
Robert Price
Priya Ray
Morgan Stickrod
Andy Loebs",Kreamy 'Lectric Santa,,[],www.kreamy.org,,training,small,160000,0,,2011-02-18 14:50:27,,147,3,Folk,[94],"[17, 94]",<p>Ongoing Ez listening collaborative instrumental project-With Guests Phoaming Edison and Jon Paul-If interested in taking part in the project contact us</p>,3747,,Attribution-Noncommercial-Share Alike 3.0 United States,2717,,1,,[],Sickly Brazil
43021,0,2011-01-28 20:27:13,,,4,8426,"<p><span style=""font-size: xx-small;""> Huun Huur Tu is </span><span style=""font-size: xx-small;"">the first and still  greatest traditional band from Tuva in southern Siberia. The tireless overtone-singing spike-fiddle-wielding marvels serenade us in-studio midway through a <a href=""http://www.eyefortalent.com/index.cfm/fuseaction/artist.performance_schedule/artist_id/33"">winter North American tour</a> that includes a gig at <a href=""http://www.joespub.com/"">Joe's Pub</a> in NY on Saturday January 29. (Also check out their new cd, <a href=""http://www.worldvillagemusic.com/#/albums?id=1538"">Ancestors Call</a> on World Village Records.) Special thanks to our illustrious engineer Jason Sigal and to Bruce Sherman from <a href=""http://www.hrpac.org/index.htm"">Hudson River Performing Arts Center</a>, who presented Huun Huur Tu's recent free concert at the UBS Atrium, Lincoln Harbor (and also present free concerts on the waterfront at Lincoln Harbor during the summer). </span></p>
<p><span style=""font-size: xx-small;"">-<a title=""http://wfmu.org/playlists/shows/38941"" href=""http://wfmu.org/playlists/shows/38941"" target=""_blank"">Rob Weisberg, WFMU's Transpacific Sound Paradise Jan 22 2011</a><br /></span></p>",44455,,"['khoomei', 'tuva', 'huun huur tu', 'overtone singing']","Live on WFMU's Transpacific Sound Paradise, Jan 22, 2011",15,Radio Program,,,,"<p>Huun-Huur-Tu (Tuvan: Хүн Хүртү <em>Khün Khürtü</em>) is a music group from Tuva, a Russian republic situated on the Mongolian border.</p>
<p>The most distinctive characteristic of Huun Huur Tu's music is throat singing, in which the singers sing both the note (drone) and the drone's overtone(s), thus producing two or three notes simultaneously. The overtone may sound like a flute, whistle or bird, but is actually solely a product of the human voice.</p>
<p>The group primarily uses native Tuvan instruments such as the igil, khomus (Tuvan Jew's Harp), doshpuluur, and tungur (shaman drum). However, in recent years, the group has begun to selectively incorporate western instruments, such as the guitar. While the thrust of Huun Huur Tu's music is fundamentally indigenous Tuvan folk music, they also experiment with incorporating not only Western instruments, but electronic music as well.</p>
<p>>> <a title=""http://en.wikipedia.org/wiki/Huun-Huur-Tu"" href=""http://en.wikipedia.org/wiki/Huun-Huur-Tu"" target=""_blank"">read more at wikipedia</a></p>",0,2011-01-28 19:05:00,28,10060,22.586639,Tuva Republic,71.614639,"Kaigal-ool Khovalyg
Sayan Bapa
Radik Tülüsh
Alexei Saryglar

Past members:
Albert Kuvezin
Alexander Bapa
Andrey Mongush
Anatoli Kuular",Huun Huur Tu,,"['huun huur tu', 'khoomei', 'throat-singing', 'overtone singing', 'tuva']",http://www.huunhuurtu.ru/,,training,small,256000,0,,2011-01-28 20:24:20,,162,0,International,[172],"[2, 172]",,1309,,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,953,,5,,"['khoomei', 'tuva', 'huun huur tu', 'overtone singing']",[interview]
43858,0,2011-02-19 10:25:56,,,0,8608,,34912,,[],Sour Soul 12,15,Album,,,,,0,2009-05-22 17:22:31,1,3738,,,,,This One,,['this one'],,,training,small,256000,0,,2011-02-19 10:28:08,,96,5,Hip-Hop,"[21, 811]","[811, 21]",,2853,,Attribution-Noncommercial-No Derivative Works 3.0 United States,2262,,4,,[],tell me how
43594,1,2011-02-15 18:32:00,,,0,8554,"<p>New York's own Romanian gypsy dance band live from the 2011 <a href=""http://www.goldenfest.org/"" target=""_blank"">Golden Festival</a>!</p>
<p>This performance took place January 15th, 2011 at Grand Prospect Hall's Grand View room, presenting 'Sounds of the Middle East and Much More'</p>",10608,,[],"GY Live at the Golden Festival, Jan 15 2011",7,Live Performance,,,,<p>Romanian gypsy dance music</p>,0,2010-02-17 12:36:38,4,6564,,,,"    * Emil (trumpet)
    * Toni (sax)
    * Robert (guitar)
    * Florentz (piano)
    * Zoran Jr. (drums)
    * Catela (vocals)",Gipsyork,,['gipsyork'],http://www.myspace.com/gipsyork,,training,small,256000,0,,2011-02-15 18:39:32,,88,0,International,[524],"[130, 2, 524]",,1944,,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,1531,,3,,[],"Liberte, Egalite, Fraternite, et Deportez (speech)"
43596,1,2011-02-15 18:32:00,,,0,8554,"<p>New York's own Romanian gypsy dance band live from the 2011 <a href=""http://www.goldenfest.org/"" target=""_blank"">Golden Festival</a>!</p>
<p>This performance took place January 15th, 2011 at Grand Prospect Hall's Grand View room, presenting 'Sounds of the Middle East and Much More'</p>",10608,,[],"GY Live at the Golden Festival, Jan 15 2011",7,Live Performance,,,,<p>Romanian gypsy dance music</p>,0,2010-02-17 12:36:38,4,6564,,,,"    * Emil (trumpet)
    * Toni (sax)
    * Robert (guitar)
    * Florentz (piano)
    * Zoran Jr. (drums)
    * Catela (vocals)",Gipsyork,,['gipsyork'],http://www.myspace.com/gipsyork,,training,small,256000,0,,2011-02-15 18:39:34,,374,4,International,[524],"[130, 2, 524]",,3945,,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,3158,,1,,[],Hora
43867,0,2011-02-19 10:25:56,,,0,8608,,34912,,[],Sour Soul 12,15,Album,,,,,1,2011-02-19 10:30:37,1,10229,,,,,Chicken Jones,,['chicken jones'],,,training,small,256000,0,,2011-02-19 10:28:17,,137,2,Hip-Hop,"[21, 811]","[811, 21]",,3213,,Attribution-Noncommercial-No Derivative Works 3.0 United States,2626,,13,,[],one last try
43535,0,2011-02-14 18:48:49,2011-01-15 00:00:00,,3,8539,"<p> </p>
<p>Oakland California's MWE put a modern and eclectic twist on Turkish and Balkan folk music, live from the 2011 <a title=""http://www.goldenfest.org/"" href=""http://www.goldenfest.org/"" target=""_blank"">Golden Festival</a> (Grand Prospect Hall, Brooklyn, Jan 15th). This performance took place on the 4th Floor's ""Grand View"" room, with sounds of the Middle East and more.</p>
<p> </p>
<div>Ayabibi: This song is very popular in Romania. This particular arrangement of the song comes from Taraf Borzo, a band based out of France.</div>
<p>Sirtos (from Yiannitsa): The name speaks for itself but it should be noted that Yiannitsa is in northern Greece and this tune is in 7/8.</p>
<p>Suleyman Aga: This song is a Turkish Roman traditional. This 9/8 karsilama rhythm is probably the most popular rhythm among Turkish Roma.</p>
<p>Halay: Halay is actually the name of a line dance from Turkey. It is driven by a relentless 2/4 beat, and usually features zurna and davul.</p>
<p> </p>
<p><a title=""http://myspace.com/mwesf"" href=""http://myspace.com/mwesf"" target=""_blank"">MWE</a>:<br />Peter Jaques: Clarinet<br />Greg Jenkins: Clarinet<br />Samual Atchley: Clarinet<br />Calvin Lai: Zurna<br />Sean Tergis: Davul<br />Faisal Zedan: Dumbek, Riqq</p>
<p> </p>",13628,,[],Live at the 2011 Golden Festival (MWE),4,Live Performance,,,,"<p>MWE put a modern and eclectic twist on Turkish and Balkan folk music. As a six member acoustic wind ensemble, MWE plays traditional songs with the rarely paired clarinet and the double-reeded zurna.  Add three clarinets, some dumbek, some riqq, and a Davul, a shoulder slung marching drum, and you’re about the closest to heavy metal you can get without amplification.</p>
<p> Their shows are loud, wild and raucous affairs known for drawing entire audiences on their feet in one song or less.</p>
<p> Often found playing hit-and-run gigs in San Francisco’s Mission District, they’ve also played at established world music venues including Ashkenaz and Yoshi’s Lounge.</p>",0,2011-02-14 18:51:11,15,10183,37.805065,"Oakland, CA",-122.273024,"Peter Jaques: Clarinet
Greg Jenkins: Clarinet
Samual Atchley: Clarinet
Calvin Lai: Zurna
Sean Tergis: Davul
Faisal Zedan: Dumbek, Riqq
",MWE,,[],http://www.facebook.com/mweSF,,training,small,256000,0,,2011-02-14 18:50:49,,201,0,International,"[102, 118, 524]","[2, 130, 102, 524, 118]",,3355,,Attribution-Noncommercial-No Derivative Works 3.0 United States,2633,,2,,[],Sirtos (from Yiannitsa)
